Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Orenburgskaya oblast';1035050.5;1400652;1578762.8;2206591;3201668;3597829;3924621;4759144.7;6052035.2;6607215.6;7965759.7;8116602.2;8545771.9;8861353.7;8213315.9;8558696.4;6501982.7;7210878.4
Penzenskaya oblast';1205208.8;496035;607115.3;1074011;1307439;1365321;2597658;3087452;2635095.1;3632819.3;4198303.9;4827063.1;4602494;5177620.4;5158194.5;5314154.2;4128672.2;4551120.4
Samarskaya oblast';1870977.5;2921044;5613792.9;7138106;7859244;7640654;8594618;9444311;9963897.2;11482687.4;13844817.6;13815641.6;12672140.6;12188801.7;14009658.7;14188155.9;9812738.1;12016279.3
Saratovskaya oblast';936138.3;970883;1199280.8;2056023;2581791.4;3208975;3668396.8;3925781.8;4308539.4;5556262.9;6109230.8;7004972.8;7076222.5;7438941.9;8382835.5;8398778.3;6899323.9;8701050.6
Ul'yanovskaya oblast';550390.3;393198;389200.2;705300;1024716;922958;1057702;1351838.2;1552172.5;1800104.2;2340236.3;2405896;2569062.9;2880903.8;2974199;3311474.6;2636813;3298900
Kurganskaya oblast';445401.6;608302;812512.6;1053008;1316730;1257581;1261840;1341995.2;1251102;1769532.6;1780936.9;1756926.6;1805545.2;1811627.1;1848520.8;1945651.4;1415517.6;1523017.7
Sverdlovskaya oblast';1649202.8;6197471;6641413.3;8980042.8;9429764;9619826.3;12763961;15921550;17460266.1;20885052.5;23536381.5;25115708.1;23866791.4;23924279.8;24313620.9;25313946.1;16887317.8;21113909.7
Tyumenskaya oblast';4326096.2;5232089;14586527.5;17492562;22870717;17128591;17954309;21850829;29003753.6;31691330.7;32478416.5;34835580.9;33663263;35192279.3;38716323.3;41063123.5;39701781.9;47261617.9
CHelyabinskaya oblast';1813114.6;2098217;3120054.9;4274584;5731662;5871147;6093101.8;6683286;7409303.1;9147246.2;9413206.2;8941260.1;8773558.2;8931881.2;10357457.6;10974079.9;10221456.4;16124874.3
Respublika Altaj;84994.3;88952.4;117368.7;146931;253455.9;266907;363133;397044.3;446341;526909.1;575261.1;642116.9;662195.9;737645.4;910123.4;1034370.1;1171901.8;2277002.8
Respublika Tyva;47614.3;62629;75474.3;111521;153583;166307;190414;241656;320842.6;325691;355450;384819.2;426655.6;476911;453757.5;551279.7;505598.7;734211.3
Respublika Hakasiya;132601.3;189560;194350.6;523036;902667;877671;946407;1110223;2075122.7;2092426.6;1987176.8;2216937.4;2533643.6;3545383.4;2871144.1;2575703.9;2207342.7;2451328.6
Altajskij kraj;677718.7;1046310;1409746.9;1778273;2305732.6;1874398;2055862.2;2731986.6;3257100.4;3526795.5;4161120.2;4777076.6;5054480.1;6169536.5;5772262.8;5752403;4457172.6;5630507.4
Krasnoyarskij kraj;3597305.4;3346731;4567097.9;5263584;6660405;5571857;5897058.9;8321527.2;9391527.1;9429708.3;10029477.7;8366165.3;9970067.8;10910300.9;12565534.1;14996900.3;12632526.5;16910032.1
Irkutskaya oblast';1068880.6;2243222;2748041.3;2770927;3069459;3164643;3171309;4254491.7;5194561.4;5808799.6;6191456.4;6573160.8;7614080.2;8394913.8;9089435.2;10103320;8558188.9;13180512.1
Kemerovskaya oblast' - Kuzbass;1583342.3;2827497;3803200;4666139;6786057.6;4494178.4;4379749.7;4787970.2;7856371.6;7553295.2;7660541.7;8075740;8117354.3;8361814.6;8942899.1;9816175.9;6615485.9;10244195.7
Novosibirskaya oblast';1047733.9;2109750;1854630;3996494.5;4857889.9;3969068.1;4877075;5618842.5;6453446.8;7342913.3;8465994.1;9151828.2;9452639.1;10657056.9;13016515.6;15530901.4;10851483.8;14259732.7
Omskaya oblast';984591.8;1714670;1982864;2465615;3073904.4;2288727;2584259.2;3378404;3956764.2;4496895;5175464.6;5522951.5;4995045;5669247.7;6590954.5;7586177.7;6160339.7;7408354.7
Tomskaya oblast';892518.1;1094269;1388730.1;1581885;1936290;2268240;2438494;2860033;3513527.8;3672059.2;4073089.3;4554762.1;5123229.1;4864341.6;5294007.6;5696608.1;4794748.6;5471484.9
Respublika Buryatiya;282565.7;600382;813444;1292592;1746970.2;1980313;1998230.7;2661617.9;3517126.7;3651857.5;3983443.5;4810282.1;4699831.2;4796705.2;5069500.4;5696632.5;4595863;6471573.5
Zabajkal'skij kraj;572570.9;695964;804528.5;969447.7;1519723.8;1694766.7;1937193.1;2242713;2171781.4;1834694.2;1717151.6;2741911.7;3048141;3223331.9;3917520.7;4505304.8;3620971.1;4275078.1
Respublika Saha (YAkutiya);697870.6;1681901;2136882.8;2621055;2857390;3085051;3260839;3762419.8;3138663.6;4113042.8;4393734.5;4767516.2;5936702.4;6201246.8;9126989.8;11628633.2;10746749;14451148.3
Kamchatskij kraj;400291.6;531984;643331.3;875207;982802;1262400;1222012;1257171;1474768.4;2644047.5;3185063.5;3126526.6;2482332.7;2624488.2;2777151.9;3063421.5;2634604.2;3353018.8
Primorskij kraj;2009138.3;2092269;2116853.1;2887753;3352922;3659208;3782834;4450309;5717541.7;7819008.2;10069782.7;11337067.4;11369635.6;11750638.5;12652493.3;15146419.9;8268975.1;14829318.7
Habarovskij kraj;1198960;1232017;1758569.1;2077066.2;2368589.7;2394701.5;2838398.1;3582237.6;4345754.3;5920854.2;6977080.3;7701432.8;8097694;8524605.9;9031636.7;9438624.5;8259528.3;10496848.4
Amurskaya oblast';630019.3;381182;625014.6;839758;1026326;1165253.4;1390452.5;1834683;1896667.3;2059550.6;2067619.4;2522521.5;2535060.6;2700670.9;3073247.7;3014347.5;4375056.6;4791759.9
Magadanskaya oblast';130813.7;255108;257285.4;283607;321797;341314.2;649543.4;765858;865758.6;992989.3;985473.2;707712.7;1030923;1305744.7;1590595.7;1756109.3;1813983.9;1957031.8
Sahalinskaya oblast';725745;795999;1510309.1;1786956;3270832;3061187;3349996;3549229;3592699.4;3674714.4;3962115.3;3839519.1;4631015.1;4980300.1;4457120;5335044.3;4778020;5628333.7
Evrejskaya avtonomnaya oblast';101090.3;123058;124817.3;166455;196913;262971;398366;321941;377143.5;463559.8;464734.1;444730.8;439962.3;420883.4;443069.3;461426.7;302130.2;380382.3
CHukotskij avtonomnyj okrug;138598.3;33811;49120;82697;107078;165237;87929;274088.9;580576.1;191384.6;155071.3;142441.6;133674;202714.9;244669.4;455300.7;498961.7;666507.6
