Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Altajskij kraj;5 504 922.2;6 767 331.4;12 426 881.8;16 000 802.9;19 781 986.4;22 562 923.5;23 022 558.5;23 153 243.3;30 421 595.6;33 260 420.5;34 708 851.8;34 451 809;39246727.4;39961621.2;42861069.4;44853309.9;46954035.9;49997039
Krasnoyarskij kraj;10 125 054.9;13 225 156.1;25 426 545.7;32 139 763;40 968 812.9;46 477 831.6;48 106 442.8;53 708 262.1;66 664 661.6;73 660 985.6;76 043 674.2;75 285 130.2;89631450.2;90509960.1;98319421.8;103867228;110534063.8;118846285.2
Irkutskaya oblast';7 157 872.2;9 560 870.1;14 766 924.8;23 610 137.9;30 933 312.9;34 595 298.8;35 673 447.4;39 980 773.3;51 533 442.2;57 439 932.1;59 047 222.6;57 559 381.5;85647147.9;86860780.8;92289916.9;97731288;101474457.4;107208608.1
Kemerovskaya oblast' - Kuzbass;6 260 910.6;8 256 653.8;17 069 103.4;19 824 345.3;25 471 704.3;28 035 157.4;27 547 578.3;30 941 536.2;40 108 332.2;45 223 974.7;47 298 917.2;48 302 656.7;51991335.2;52384778.2;57175048.4;60942915.8;64856763.2;68924782
Novosibirskaya oblast';6 227 722.5;9 246 634.7;15 777 266.4;19 985 812.6;26 278 212.5;29 862 199.6;24 386 407.5;36 371 660.4;47 203 806.3;51 740 893.2;54 416 063.7;53 725 639.4;62488829.8;64219130;68612826.7;72387537.5;75278222.4;77479106.6
Omskaya oblast';5 090 812.6;6 034 210;11 352 937.5;14 327 911.7;17 882 301.5;20 168 708.3;20 741 790.7;23 073 913;28 945 317;32 330 994.5;32 877 261.4;33 506 811.9;40147888.8;41182377.5;44325523.1;46159284.6;47447530.5;51192491.9
Tomskaya oblast';3 756 144.6;4 686 166.6;8 174 569.9;10 302 200.8;13 236 398;14 707 429;15 720 816;17 141 285;20 978 446.9;23 679 356.7;24 920 344.6;25 160 756.3;36703953.4;37451064.9;39173794.8;41228191.6;42577699;44788854.2
Respublika Buryatiya;2 852 815.7;3 008 469;6 954 840.6;9 298 920.2;11 830 418.1;13 564 818.2;13 772 744.9;14 774 245.9;17 532 721.2;19 473 386.5;20 334 372.5;20 126 493.4;27484543.4;27728552.7;29618641.2;31021958.6;33864518.7;35968468.7
Zabajkal'skij kraj;4 075 768.7;4 932 253.1;9 428 630.6;12 427 019.9;15 833 357.1;18 417 405.8;19 506 988.7;21 852 725.3;26 021 355;28 746 827;30 554 168.3;30 034 359.6;33414973.8;34178125.3;36533255.3;38141957.3;40571888.9;42980113.3
Respublika Saha (YAkutiya);4 925 772.7;6 542 908.9;11 224 103.4;13 419 287.7;18 347 206.9;22 168 541.2;22 943 438.7;28 516 217;34 623 732.5;38 786 309.8;41 635 695.9;42 557 893.6;52003409.4;53766231.5;56205077.8;57507778.4;61749242;66088710.6
Kamchatskij kraj;2 556 180.4;4 117 434.6;7 920 008.1;10 208 068.5;13 032 003.7;14 657 719.1;15 718 690;17 781 981.3;21 009 294.2;23 549 567.9;27 118 240.7;27 075 927.2;43481692.6;42541656.9;45720785.8;45821668;50881969;53735505.5
Primorskij kraj;7 795 563.2;10 845 724.3;18 320 618.8;22 868 428.6;29 548 092;33 513 740.5;35 135 160.3;39 247 824.3;49 179 329.4;54 132 085.4;58 334 924.7;55 867 709.7;110819725.7;120429620.9;121497522.7;130692588.2;131674635;142903546.6
Habarovskij kraj;7 116 188;9 027 698.9;15 756 885.7;19 649 243.2;25 389 024.2;29 483 516.1;31 493 810.7;36 443 898.5;46 196 131.4;51 071 454.6;52 858 647.7;52 833 539.8;65985778.4;71049052.5;76410682.8;79513305.4;81899133.8;86835458.5
Amurskaya oblast';3 273 867.4;4 406 146.1;8 684 059.8;9 885 991.3;12 693 341.3;14 298 012.7;15 042 511.4;16 470 684;19 870 025;21 799 709;23 283 408;22 804 273.5;25291679.6;26705449.2;27562743.2;30159901.5;32129676.5;34426169.6
Magadanskaya oblast';2 136 774.2;2 287 396.4;4 654 668.5;6 293 223.4;8 600 275.6;9 775 742.5;10 018 437.1;10 954 163.5;12 503 956.4;14 294 482.4;15 668 630.9;15 486 570.9;16233890.2;17208575.7;18219985.6;19145501;19918795.8;21006666.8
Sahalinskaya oblast';3 584 736.1;3 882 144.3;8 049 225.4;10 271 237.6;14 259 607.2;16 007 874.4;17 356 409.1;23 061 310.2;26 733 003.6;27 997 488.5;29 791 285.1;30 206 001.9;38359793.2;39504314.9;41459967.8;45066753.8;48018087.8;50875100.7
Evrejskaya avtonomnaya oblast';722 921.7;1 042 516.2;1 550 944.3;2 641 597.4;3 399 305.5;3 853 273.9;4 048 822.2;4 680 110.7;5 603 088.3;6 230 403.3;6 539 596.3;6 635 630.2;8129263.6;8452222.5;8904056.7;9162612.7;9786786.4;10256357.3
CHukotskij avtonomnyj okrug;1 105 910.3;1 488 596.4;3 114 631.5;3 590 516.4;4 397 189.1;4 476 202.5;4 802 281.1;5 144 179.2;5 587 938.1;6 427 997.1;7 053 740.6;6 824 514.5;10675688.9;11189202.6;11400821.5;12177685;12885809.6;13903941.8
